event_id,program,entry_key,country,year,entry_rank,farm,score,process,base_process,innovation_class,experimental_method,experimental_technology,auction_lots,mean_price_usd_lb,median_price_usd_lb,min_price_usd_lb,max_price_usd_lb,lots_with_weight,weight_coverage,observed_weight_lb,weighted_mean_price_usd_lb
56f3d93e6d53724a,COE,56f3d93e6d53724a|COE|NA|1,Brazil,2018,1,Fazenda Paraíso,93.26,Natural,Natural,Conventional,NA,NA,2,65.55,65.55,51,80.1,0,0,NA,NA
d1543b65c7f3dffe,COE,d1543b65c7f3dffe|COE|NA|1,Brazil,2018,1,Fazenda Primavera,93.89,Pulped Natural,Honey / pulped natural,Conventional,NA,NA,2,131.55,131.55,120.1,143,0,0,NA,NA
56f3d93e6d53724a,COE,56f3d93e6d53724a|COE|NA|10,Brazil,2018,10,Nossa Senhora Aparecida,89.41,Natural,Natural,Conventional,NA,NA,1,10.5,10.5,10.5,10.5,0,0,NA,NA
d1543b65c7f3dffe,COE,d1543b65c7f3dffe|COE|NA|10,Brazil,2018,10,Sítio Cruz,88.14,Pulped Natural,Honey / pulped natural,Conventional,NA,NA,1,6.1,6.1,6.1,6.1,0,0,NA,NA
56f3d93e6d53724a,COE,56f3d93e6d53724a|COE|NA|11,Brazil,2018,11,Sitio Nossa Senhora Aparecida,89.38,Natural,Natural,Conventional,NA,NA,1,5.5,5.5,5.5,5.5,0,0,NA,NA
d1543b65c7f3dffe,COE,d1543b65c7f3dffe|COE|NA|11,Brazil,2018,11,Fazenda Ouro Verde,88.14,Pulped Natural,Honey / pulped natural,Conventional,NA,NA,1,6.1,6.1,6.1,6.1,0,0,NA,NA
56f3d93e6d53724a,COE,56f3d93e6d53724a|COE|NA|12,Brazil,2018,12,Fazenda Espigão do Palmital,89.26,Natural,Natural,Conventional,NA,NA,1,5.6,5.6,5.6,5.6,0,0,NA,NA
d1543b65c7f3dffe,COE,d1543b65c7f3dffe|COE|NA|12,Brazil,2018,12,Fazenda Santa Bárbara,88.03,Pulped Natural,Honey / pulped natural,Conventional,NA,NA,1,5.6,5.6,5.6,5.6,0,0,NA,NA
56f3d93e6d53724a,COE,56f3d93e6d53724a|COE|NA|13,Brazil,2018,13,Fazenda Santa Rita – Central Mattos,89.26,Natural,Natural,Conventional,NA,NA,1,7.1,7.1,7.1,7.1,0,0,NA,NA
d1543b65c7f3dffe,COE,d1543b65c7f3dffe|COE|NA|13,Brazil,2018,13,Sítio Grota São Pedro,88.03,Pulped Natural,Honey / pulped natural,Conventional,NA,NA,1,5.6,5.6,5.6,5.6,0,0,NA,NA
56f3d93e6d53724a,COE,56f3d93e6d53724a|COE|NA|14,Brazil,2018,14,Sitio Grota Fria,89.03,Natural,Natural,Conventional,NA,NA,1,6.8,6.8,6.8,6.8,0,0,NA,NA
